"","X","SNP","rsID","CHR","BP","LOG_P","chr","start_pos","end_pos","width","strand","gene_id","gene_name","gene_biotype"
"18",14,"ARS-BFGL-NGS-71077","rs109584097",28,35807366,4.6958750956,"28",35805434,35823873,18440,"+","ENSBTAG00000021416","PRXL2A","protein_coding"
"19",14,"ARS-BFGL-NGS-71077","rs109584097",28,35807366,4.6958750956,"28",35848163,35904370,56208,"+","ENSBTAG00000003907","TSPAN14","protein_coding"
"20",6,"ARS-BFGL-NGS-118207","rs110081798",3,110866523,4.8159428495,"3",110769753,110827938,58186,"+","ENSBTAG00000013867","DLGAP3","protein_coding"
"21",6,"ARS-BFGL-NGS-118207","rs110081798",3,110866523,4.8159428495,"3",110835276,110839536,4261,"+","ENSBTAG00000014235","SMIM12","protein_coding"
"22",6,"ARS-BFGL-NGS-118207","rs110081798",3,110866523,4.8159428495,"3",110888198,110890904,2707,"-","ENSBTAG00000013881","GJA4","protein_coding"
"23",6,"ARS-BFGL-NGS-118207","rs110081798",3,110866523,4.8159428495,"3",110900183,110905849,5667,"-","ENSBTAG00000012584","GJB3","protein_coding"
"24",15,"ARS-BFGL-NGS-74948","rs41585925",3,111526170,4.7603506593,"3",111552563,111568286,15724,"-","ENSBTAG00000020798","C3H1orf94","protein_coding"
"25",25,"BTB-01641394","rs42752353",3,111730561,4.3907066994,"3",111603940,112289188,685249,"+","ENSBTAG00000005784","CSMD2","protein_coding"
"26",11,"ARS-BFGL-NGS-37809","rs42751504",3,111751663,4.3907066994,"3",111603940,112289188,685249,"+","ENSBTAG00000005784","CSMD2","protein_coding"
"27",9,"ARS-BFGL-NGS-25298","rs109868537",3,111772736,5.0887375853,"3",111603940,112289188,685249,"+","ENSBTAG00000005784","CSMD2","protein_coding"
"28",22,"BTB-00594449","rs41764450",15,33066384,5.0412707242,"15",32820702,33050885,230184,"-","ENSBTAG00000054820",NA,"lncRNA"
"29",12,"ARS-BFGL-NGS-41631","rs110121846",29,33039863,4.9331400421,"29",32993975,33024632,30658,"-","ENSBTAG00000003176","JAM3","protein_coding"
"30",12,"ARS-BFGL-NGS-41631","rs110121846",29,33039863,4.9331400421,"29",33036823,33044208,7386,"-","ENSBTAG00000052082",NA,"lncRNA"
"31",16,"ARS-BFGL-NGS-82859","rs110506037",14,15929822,5.4674390151,"14",15865228,15995482,130255,"-","ENSBTAG00000013537","FER1L6","protein_coding"
"32",16,"ARS-BFGL-NGS-82859","rs110506037",14,15929822,5.4674390151,"14",15914441,15917042,2602,"+","ENSBTAG00000048373",NA,"protein_coding"
"33",18,"ARS-BFGL-NGS-91119","rs109575643",20,65351653,4.8912057152,"20",65311530,65343117,31588,"-","ENSBTAG00000009401","MTRR","protein_coding"
"34",18,"ARS-BFGL-NGS-91119","rs109575643",20,65351653,4.8912057152,"20",65343172,65354775,11604,"+","ENSBTAG00000009400","FASTKD3","protein_coding"
"35",18,"ARS-BFGL-NGS-91119","rs109575643",20,65351653,4.8912057152,"20",65368557,65384042,15486,"+","ENSBTAG00000055034","CFAP90","protein_coding"
"36",18,"ARS-BFGL-NGS-91119","rs109575643",20,65351653,4.8912057152,"20",65388705,65842986,454282,"-","ENSBTAG00000019210","ADCY2","protein_coding"
"37",31,"Hapmap53065-rs29026778","rs29026778",2,118820218,4.4209621867,"2",118803760,118824701,20942,"+","ENSBTAG00000030718","SPATA3","protein_coding"
"38",31,"Hapmap53065-rs29026778","rs29026778",2,118820218,4.4209621867,"2",118831062,118836777,5716,"+","ENSBTAG00000054626",NA,"lncRNA"
"39",31,"Hapmap53065-rs29026778","rs29026778",2,118820218,4.4209621867,"2",118846915,118854132,7218,"+","ENSBTAG00000026710","C2H2orf72","protein_coding"
"40",31,"Hapmap53065-rs29026778","rs29026778",2,118820218,4.4209621867,"2",118865174,118946608,81435,"+","ENSBTAG00000005119","PSMD1","protein_coding"
"41",29,"Hapmap48777-BTA-47434","rs41636137",2,41670655,4.3772838721,"2",41676135,42259624,583490,"-","ENSBTAG00000005562","GALNT13","protein_coding"
"42",23,"BTB-01148543","rs42305073",7,110306791,4.6096912676,"7",110296879,110565532,268654,"+","ENSBTAG00000035662","CAMK4","protein_coding"
"43",26,"Hapmap23854-BTC-062412","rs81154019",6,36184467,4.7581104442,"6",36052150,36198478,146329,"-","ENSBTAG00000010120","HERC3","protein_coding"
"44",27,"Hapmap47669-BTA-59022","rs41645754",24,857728,4.4580184975,"24",779627,866891,87265,"-","ENSBTAG00000000656","NFATC1","protein_coding"
"45",27,"Hapmap47669-BTA-59022","rs41645754",24,857728,4.4580184975,"24",879074,1029386,150313,"-","ENSBTAG00000001224","ATP9B","protein_coding"
"46",32,"Hapmap55558-rs29013980","rs29013980",11,19779915,4.8281904216,"11",19680235,19765027,84793,"-","ENSBTAG00000001114","PRKD3","protein_coding"
"47",32,"Hapmap55558-rs29013980","rs29013980",11,19779915,4.8281904216,"11",19792170,19822758,30589,"+","ENSBTAG00000013923","QPCT","protein_coding"
