"","CHR","BP","SNP_ID","Var"
"42",1,96959413,"ARS-BFGL-NGS-94323",0.1345074783
"43",1,97117901,"BTA-43340-no-rs",0.1215448622
"44",10,14228843,"ARS-BFGL-NGS-115059",0.1091090814
"45",10,14284093,"ARS-BFGL-NGS-87702",0.1259792393
"46",10,15898865,"ARS-BFGL-NGS-44234",0.1285237037
"47",10,15955819,"ARS-BFGL-NGS-118236",0.2088687315
"48",10,15994647,"Hapmap47826-BTA-107963",0.2763054875
"49",10,16137379,"ARS-BFGL-BAC-14174",0.261853015
"50",10,16160207,"ARS-BFGL-NGS-5722",0.3713582826
"51",10,16182204,"ARS-BFGL-NGS-113265",0.4067019434
"52",10,16211659,"ARS-BFGL-NGS-16604",0.2890236442
"53",10,16346333,"ARS-BFGL-NGS-87552",0.2102355111
"54",10,16434398,"BTA-83414-no-rs",0.1754463115
"55",10,16454781,"ARS-BFGL-NGS-64755",0.1610252506
"56",10,16482947,"ARS-BFGL-NGS-43079",0.1010897701
"57",10,20629073,"ARS-BFGL-NGS-33553",0.1191830846
"58",10,20746648,"ARS-BFGL-NGS-57195",0.1243242635
"59",10,20776707,"ARS-BFGL-BAC-10960",0.1315944771
"60",10,20803826,"ARS-BFGL-NGS-42236",0.1818727036
"61",10,20834705,"ARS-BFGL-NGS-44623",0.1702433542
"62",10,20860225,"ARS-BFGL-NGS-110110",0.1283561379
"63",10,27185490,"ARS-BFGL-BAC-11612",0.1467178732
"64",10,27219761,"BTB-01402638",0.1192233309
"65",10,27257251,"UA-IFASA-4465",0.1662910266
"66",10,27290407,"ARS-BFGL-NGS-117948",0.19613697
"67",10,27367801,"BTB-01697310",0.1974927361
"68",10,27397646,"Hapmap47512-BTA-114443",0.1828933282
"69",10,27420541,"BTB-01402397",0.2176616001
"70",10,27547632,"BTA-23031-no-rs",0.1080350354
"71",10,28233868,"BTB-00417448",0.165234036
"72",10,28382493,"BTB-00414548",0.1388984776
"73",10,28417433,"BTB-00414590",0.1441956135
"74",10,28450074,"BTB-00414664",0.1264554987
"75",10,28490691,"ARS-BFGL-NGS-3160",0.1201121384
"76",10,29764271,"ARS-BFGL-NGS-46096",0.1067981362
"77",10,32278745,"BTB-00416033",0.1549730523
"78",10,32303809,"BTB-00416055",0.1030606866
"79",10,32324758,"BTB-00416071",0.2002106137
"80",10,32400485,"UA-IFASA-8860",0.1293645917
"81",10,32433557,"BTB-00416188",0.1450198187
"82",10,32475837,"BTB-00416290",0.1245701285
"83",10,32501730,"BTB-00416386",0.1433080712
"84",10,32581893,"BTA-62321-no-rs",0.1447698152
"85",10,41626921,"BTA-96964-no-rs",0.1436904213
"86",10,41725845,"BTA-67183-no-rs",0.116266898
"87",10,41823523,"Hapmap39501-BTA-67181",0.1439755774
"88",10,49767155,"Hapmap43913-BTA-70188",0.1466788283
"89",10,49796175,"ARS-BFGL-NGS-86147",0.1799150415
"90",10,49829868,"BTB-00426818",0.152735998
"91",10,49858694,"ARS-BFGL-NGS-88023",0.1496055762
"92",10,49882556,"ARS-BFGL-NGS-70374",0.1590109714
"93",10,50020863,"BTB-00427118",0.138384566
"94",10,50119457,"BTB-00427217",0.1730071277
"95",10,50147936,"BTB-00427152",0.115031369
"96",10,50316929,"BTA-70195-no-rs",0.1307257578
"97",10,50337554,"BTB-02009817",0.2964467516
"98",10,50375243,"Hapmap50870-BTA-111277",0.389669748
"99",10,50392283,"Hapmap41480-BTA-20737",0.2095723275
"100",10,50415615,"BTB-01780583",0.1971266302
"101",10,50467891,"ARS-BFGL-NGS-15394",0.2950875695
"102",10,50532545,"BTA-92902-no-rs",0.4997713901
"103",10,50554831,"BTB-01434227",0.6660810063
"104",10,50608000,"Hapmap51989-BTA-92903",0.4718107609
"105",10,50632188,"BTB-01434144",0.3879825255
"106",10,50673845,"Hapmap54762-rs29012389",0.357542565
"107",10,50727713,"ARS-BFGL-NGS-8836",0.3454068732
"108",10,50804429,"Hapmap45147-BTA-106533",0.1851934516
"109",10,50856455,"ARS-BFGL-NGS-11399",0.2112603911
"110",10,50881434,"ARS-BFGL-NGS-5470",0.1694915807
"111",10,50975312,"BTB-00428084",0.1242462659
"112",10,80202103,"BTB-00437473",0.1243365736
"113",10,80223687,"ARS-BFGL-NGS-3980",0.2186830449
"114",10,80258289,"UA-IFASA-4740",0.1468625838
"115",10,80402480,"ARS-BFGL-NGS-59601",0.1736051802
"116",10,80433411,"ARS-BFGL-BAC-11007",0.1234922418
"117",10,80464095,"ARS-BFGL-NGS-6116",0.1566500655
"118",11,12952122,"BTB-00460506",0.1061990014
"119",11,12975419,"Hapmap48102-BTA-85468",0.1348134515
"120",11,13041787,"Hapmap52124-rs29020943",0.1585890705
"121",11,13094818,"ARS-BFGL-NGS-20431",0.1428201411
"122",11,13114842,"ARS-BFGL-NGS-2493",0.1626706088
"123",11,13135356,"ARS-BFGL-BAC-14209",0.1306841392
"124",11,16000971,"UA-IFASA-2426",0.1052529749
"125",11,16110966,"BTB-00462075",0.1259478002
"126",11,16135406,"BTB-00461834",0.1063396423
"127",11,16174031,"Hapmap29803-BTA-126260",0.1156432799
"128",11,16210947,"BTB-00461875",0.1042705884
"129",11,16242950,"BTB-00461926",0.1030391663
"130",11,25467022,"ARS-BFGL-NGS-29851",0.127889699
"131",11,25630059,"BTB-00469321",0.1106775752
"132",11,25660041,"Hapmap42357-BTA-89853",0.1031512224
"133",11,25760288,"ARS-BFGL-NGS-5488",0.1083396706
"134",11,27648326,"ARS-BFGL-NGS-24935",0.1028695721
"135",11,27678911,"BTB-00470332",0.1348225224
"136",11,27709498,"Hapmap58395-rs29019857",0.1645871808
"137",11,27746425,"ARS-BFGL-NGS-101857",0.1297567499
"138",11,27830023,"Hapmap48940-BTA-90883",0.14814924
"139",11,28054041,"ARS-BFGL-NGS-82906",0.1358081396
"140",11,29333199,"ARS-BFGL-NGS-103581",0.1181737349
"141",11,29365973,"ARS-BFGL-NGS-58445",0.1288754057
"142",11,29389110,"ARS-BFGL-NGS-114530",0.1088233298
"143",11,29415659,"ARS-BFGL-NGS-112640",0.1255939094
"144",11,29454559,"ARS-BFGL-NGS-14040",0.1267679347
"145",11,29483268,"ARS-BFGL-NGS-14449",0.1393407514
"146",11,29523821,"ARS-BFGL-NGS-100266",0.1150292923
"147",11,58356755,"BTA-34561-no-rs",0.108655341
"148",11,58383311,"BTA-33625-no-rs",0.1036073188
"149",11,58497959,"ARS-BFGL-BAC-11747",0.1017918225
"150",11,83985738,"ARS-BFGL-BAC-7319",0.1051094318
"151",11,84678345,"Hapmap40930-BTA-26841",0.1016701789
"152",11,84738147,"Hapmap25343-BTA-163074",0.1223723788
"153",11,84820376,"BTA-26840-no-rs",0.1085349919
"154",11,85247389,"ARS-BFGL-NGS-37939",0.1346683968
"155",11,85302066,"ARS-BFGL-NGS-107825",0.141108326
"156",11,85322845,"Hapmap43168-BTA-119307",0.2008925496
"157",11,85359517,"ARS-BFGL-NGS-40301",0.3055185485
"158",11,85398026,"ARS-BFGL-NGS-110235",0.2711183557
"159",11,85606528,"Hapmap57048-rs29017217",0.2491384721
"160",11,85771451,"ARS-BFGL-NGS-111563",0.3654883409
"161",11,85810220,"Hapmap39304-BTA-109342",0.2888585575
"162",11,85937536,"Hapmap38876-BTA-109334",0.3037615763
"163",11,85972950,"BTA-120876-no-rs",0.1692577663
"164",11,86081075,"ARS-BFGL-NGS-14236",0.1476001585
"165",11,87104511,"ARS-BFGL-BAC-7337",0.1237828474
"166",11,87194574,"ARS-BFGL-NGS-38084",0.1577790346
"167",11,87223121,"Hapmap52090-rs29022201",0.1741681779
"168",11,87279961,"BTA-110370-no-rs",0.1707878067
"169",11,87301374,"ARS-BFGL-NGS-114578",0.2879942781
"170",11,87343394,"ARS-BFGL-NGS-115698",0.1751316007
"171",11,87427230,"ARS-BFGL-NGS-89483",0.1791455035
"172",11,87450947,"ARS-BFGL-NGS-77445",0.1715603937
"173",11,87477968,"ARS-BFGL-NGS-102660",0.1509006858
"174",11,9212734,"Hapmap40102-BTA-110410",0.1001915531
"175",11,9303545,"ARS-BFGL-NGS-57976",0.1390568011
"176",11,9345296,"ARS-BFGL-NGS-83673",0.1092554627
"177",11,95837864,"Hapmap24798-BTA-127049",0.1160666987
"178",11,95985524,"Hapmap40206-BTA-120879",0.2015490809
"179",11,96024175,"ARS-BFGL-NGS-72642",0.2154333848
"180",11,96074398,"Hapmap47514-BTA-115564",0.2903548
"181",11,96235663,"ARS-BFGL-NGS-101698",0.3932618133
"182",11,96285921,"ARS-BFGL-NGS-111672",0.3447816358
"183",11,96322228,"ARS-BFGL-NGS-43490",0.38587215
"184",11,96454896,"Hapmap60189-rs29017117",0.2919202155
"185",11,96479338,"ARS-BFGL-NGS-50500",0.2485149327
"186",11,96609577,"Hapmap51470-BTA-57893",0.1719578006
"187",11,96699491,"Hapmap51471-BTA-57896",0.11205641
"188",12,10779144,"BTB-01100174",0.1653102843
"189",12,10830532,"Hapmap35046-BES11_Contig381_736",0.2531744373
"190",12,10851132,"ARS-BFGL-NGS-21526",0.2305727614
"191",12,10967287,"Hapmap48641-BTA-119400",0.2371591667
"192",12,11150596,"ARS-BFGL-NGS-43211",0.3360266261
"193",12,11193032,"ARS-BFGL-NGS-87459",0.2200373692
"194",12,11324144,"ARS-BFGL-NGS-71187",0.156624752
"195",12,11385069,"BTB-00486553",0.1306997277
"196",12,11414286,"BTB-00487004",0.1364685779
"197",12,14005588,"BTB-01296488",0.1154279022
"198",12,14056621,"Hapmap49074-BTA-19146",0.1209334404
"199",12,14083373,"BTB-01475864",0.1482084218
"200",12,14109902,"BTB-01296573",0.1204048102
"201",12,14156556,"ARS-BFGL-NGS-6072",0.1644307105
"202",12,14186758,"BTB-01296818",0.1135065457
"203",12,56021401,"Hapmap51019-BTA-65454",0.1058319104
"204",12,56034163,"ARS-BFGL-NGS-104509",0.1206410381
"205",12,56206814,"BTB-01834845",0.1078659861
"206",12,56276159,"Hapmap43219-BTA-26954",0.1122968579
"207",13,17967955,"Hapmap51587-BTA-34220",0.1319740862
"208",13,18001601,"ARS-BFGL-NGS-31365",0.1763165078
"209",13,18167455,"Hapmap39556-BTA-34210",0.2841577817
"210",13,18189413,"ARS-BFGL-NGS-30447",0.4135776882
"211",13,18266073,"Hapmap50266-BTA-13664",0.6006650297
"212",13,18386942,"Hapmap49833-BTA-103929",0.5282867231
"213",13,18489670,"ARS-BFGL-NGS-21967",0.4937232391
"214",13,18509812,"BTA-25900-no-rs",0.636412785
"215",13,18558540,"ARS-BFGL-BAC-7444",0.6630788663
"216",13,18626070,"ARS-BFGL-NGS-116274",0.4947972566
"217",13,18676544,"BTA-31832-no-rs",0.3995709706
"218",13,18720587,"Hapmap43233-BTA-31838",0.2473577802
"219",13,18755905,"BTA-10553-rs29016106",0.1566573304
"220",13,18792716,"ARS-BFGL-NGS-72609",0.1333989647
"221",13,18822522,"ARS-BFGL-NGS-13518",0.1014680741
"222",13,18870958,"ARS-BFGL-NGS-68568",0.1334651539
"223",13,18892498,"ARS-BFGL-NGS-109707",0.1530972188
"224",13,23248667,"Hapmap39219-BTA-31890",0.1386579606
"225",13,23543854,"ARS-BFGL-NGS-112203",0.1473551368
"226",13,23590146,"ARS-BFGL-NGS-101509",0.1353488653
"227",13,23647519,"ARS-BFGL-NGS-99560",0.1323048734
"228",13,23807096,"ARS-BFGL-NGS-80617",0.1505819537
"229",13,23896954,"ARS-BFGL-NGS-14188",0.1365098465
"230",13,23925448,"ARS-BFGL-NGS-91120",0.1240623507
"231",13,23993075,"ARS-BFGL-NGS-31326",0.1228235841
"232",13,26101077,"Hapmap39018-BTA-31978",0.1238798251
"233",13,58794363,"ARS-BFGL-BAC-13190",0.1098365964
"234",13,59661039,"BTB-00534445",0.1336180383
"235",13,59704623,"Hapmap50319-BTA-33109",0.140326244
"236",13,59728737,"ARS-BFGL-NGS-103807",0.1193522921
"237",13,59762662,"BTB-00534589",0.1499035484
"238",13,59828052,"ARS-BFGL-NGS-108965",0.1342105319
"239",13,59901998,"Hapmap50919-BTA-23085",0.1171895729
"240",13,59930801,"ARS-BFGL-NGS-35771",0.1002084634
"241",13,75354084,"ARS-BFGL-NGS-31974",0.1064441556
"242",14,12249541,"Hapmap23784-BTC-010226",0.1417962584
"243",14,12811226,"UA-IFASA-7429",0.1023518337
"244",14,12832792,"Hapmap56398-rs29010937",0.196612745
"245",14,12882729,"UA-IFASA-7696",0.3361686606
"246",14,12970779,"Hapmap41845-BTA-35927",0.3373003032
"247",14,13043711,"Hapmap47521-BTA-120525",0.276538201
"248",14,13104401,"UA-IFASA-8537",0.2641440988
"249",14,13357962,"ARS-BFGL-NGS-104239",0.2672164472
"250",14,13400490,"ARS-BFGL-NGS-35935",0.20161245
"251",14,13975863,"ARS-BFGL-NGS-19893",0.2394582354
"252",14,14008185,"Hapmap58424-rs29021188",0.2315530348
"253",14,14041208,"BTB-01109852",0.1868193236
"254",14,14072969,"BTB-01109980",0.1048374269
"255",14,15929822,"ARS-BFGL-NGS-82859",0.1135949628
"256",14,15956824,"ARS-BFGL-BAC-10591",0.2270443424
"257",14,15998933,"ARS-BFGL-BAC-14014",0.2031214564
"258",14,16025038,"Hapmap38314-BTA-42171",0.2014396601
"259",14,16083548,"Hapmap60650-rs29021886",0.216231315
"260",14,16161546,"Hapmap47609-BTA-42173",0.1977501765
"261",14,16242981,"ARS-BFGL-NGS-30433",0.1730677443
"262",14,16283570,"BTA-35990-no-rs",0.1514606813
"263",14,16409637,"BTB-00553442",0.1669021494
"264",14,19339380,"ARS-BFGL-NGS-102399",0.1488057356
"265",14,25923373,"ARS-BFGL-BAC-1302",0.1040811624
"266",14,64678934,"ARS-BFGL-NGS-28894",0.1167324266
"267",14,64708627,"Hapmap49582-BTA-35282",0.2010022348
"268",14,64752348,"Hapmap39171-BTA-35277",0.2158376499
"269",14,64848878,"UA-IFASA-5830",0.1187073498
"270",14,64929189,"ARS-BFGL-BAC-24806",0.1224653835
"271",14,65078173,"ARS-BFGL-NGS-16512",0.109541086
"272",14,65243234,"ARS-BFGL-NGS-24670",0.1328390972
"273",14,65391553,"ARS-BFGL-NGS-115837",0.1223244479
"274",14,65761220,"ARS-BFGL-NGS-7028",0.1026649235
"275",14,65824361,"UA-IFASA-8451",0.109994617
"276",14,66158833,"BTA-07375-no-rs",0.1514500477
"277",14,66258598,"ARS-BFGL-NGS-11838",0.1136637779
"278",14,66308321,"ARS-BFGL-NGS-33213",0.1342321498
"279",14,66350939,"ARS-BFGL-NGS-59595",0.1038173856
"280",14,66525315,"ARS-BFGL-NGS-3386",0.1005279172
"281",14,69322493,"ARS-BFGL-NGS-10628",0.1153971061
"282",14,69343258,"Hapmap42350-BTA-88359",0.1058892422
"283",14,70964025,"UA-IFASA-7523",0.1075925375
"284",15,10740697,"BTB-01538650",0.1416967109
"285",15,10827424,"ARS-BFGL-BAC-2191",0.3020576808
"286",15,10879514,"BTB-01813405",0.5556341789
"287",15,10906064,"BTB-02063964",0.8788211259
"288",15,10936002,"BTB-01830390",1.0480276895
"289",15,10974997,"BTB-01608944",1.1206944587
"290",15,11100934,"BTA-91816-no-rs",0.9739682726
"291",15,11144666,"BTB-01421844",0.7131749729
"292",15,11185546,"BTB-01421892",0.646368899
"293",15,11207429,"BTB-01421934",0.8898566632
"294",15,11236303,"BTB-01422008",0.68323064
"295",15,11310260,"BTA-91820-no-rs",0.4420277347
"296",15,11451408,"Hapmap40037-BTA-100798",0.2263848529
"297",15,11816949,"ARS-BFGL-NGS-4520",0.1303515373
"298",15,33804402,"Hapmap57840-rs29014510",0.1571339807
"299",15,33956411,"BTA-36425-no-rs",0.2054083869
"300",15,34001596,"ARS-BFGL-NGS-26086",0.3355724892
"301",15,34025604,"ARS-BFGL-NGS-75576",0.4695660448
"302",15,34054485,"ARS-BFGL-NGS-2713",0.5549891922
"303",15,34109962,"ARS-BFGL-NGS-98724",0.6252263388
"304",15,34144843,"ARS-BFGL-NGS-5976",0.5490536701
"305",15,34205212,"ARS-BFGL-NGS-111085",0.4880066068
"306",15,34225443,"ARS-BFGL-NGS-116109",0.422466866
"307",15,34249244,"BTB-00593773",0.356042165
"308",15,34273013,"UA-IFASA-8490",0.2780633461
"309",15,34314815,"ARS-BFGL-NGS-106696",0.2158683436
"310",15,50354219,"Hapmap61092-rs29026735",0.1068255367
"311",15,57629970,"ARS-BFGL-BAC-6489",0.1038292201
"312",15,61810673,"BTB-01230622",0.1459620013
"313",15,61855683,"Hapmap49365-BTA-89419",0.1193815437
"314",15,61914231,"Hapmap58607-rs29013975",0.1187790203
"315",15,62058172,"BTB-01406897",0.1681713636
"316",15,62235431,"BTB-01788867",0.1049774302
"317",15,73647677,"BTB-00479280",0.1295441287
"318",15,73704148,"BTB-00479196",0.1328067306
"319",15,73744665,"BTB-00479177",0.1866315528
"320",15,73774929,"Hapmap46540-BTA-93429",0.1336160129
"321",15,73932618,"ARS-BFGL-NGS-113046",0.2194569979
"322",15,73964566,"ARS-BFGL-NGS-44270",0.1487460734
"323",15,73991541,"BTB-01206179",0.1383928835
"324",15,74019876,"Hapmap54269-rs29023420",0.11773615
"325",15,9385293,"BTA-91114-no-rs",0.1005343435
"326",15,9454892,"Hapmap50818-BTA-91110",0.1375597037
"327",16,11214992,"BTB-01698122",0.1125841983
"328",16,11410055,"ARS-BFGL-NGS-14292",0.1080565118
"329",16,1189722,"ARS-BFGL-NGS-6005",0.120863833
"330",16,1209875,"ARS-BFGL-NGS-108427",0.117502836
"331",16,1350556,"ARS-BFGL-NGS-110989",0.1136301658
"332",16,1395952,"Hapmap52241-rs29014076",0.1172834125
"333",16,1432322,"Hapmap40972-BTA-38862",0.1541973728
"334",16,1456618,"ARS-BFGL-NGS-21417",0.1459286316
"335",16,1480344,"Hapmap35625-SCAFFOLD312099_6800",0.1450503819
"336",16,244385,"ARS-BFGL-NGS-66185",0.1117863199
"337",16,34337719,"Hapmap50308-BTA-29728",0.1011962278
"338",16,34451175,"ARS-BFGL-NGS-100932",0.1180083515
"339",16,34493084,"BTB-00638221",0.1762849935
"340",16,34537769,"Hapmap46698-BTA-38760",0.1169509561
"341",16,53407745,"BTA-39215-no-rs",0.1039672826
"342",16,53433033,"ARS-BFGL-NGS-29043",0.1017457484
"343",16,53470013,"BTB-00647119",0.100732032
"344",16,53504840,"Hapmap58300-rs29026453",0.1828179867
"345",16,53531283,"ARS-BFGL-NGS-84228",0.1281363405
"346",16,5680582,"BTB-02055130",0.1669712122
"347",16,60525984,"BTB-01732320",0.1012977843
"348",16,60560617,"Hapmap56001-rs29023690",0.1001974288
"349",16,60638392,"BTB-00653779",0.1083641312
"350",16,60744478,"BTB-00653808",0.1090935307
"351",16,60784885,"ARS-BFGL-NGS-11469",0.1006347759
"352",16,60966792,"ARS-BFGL-NGS-12581",0.1017713148
"353",16,6121692,"BTA-95363-no-rs",0.2978286068
"354",16,6308221,"BTB-01975868",0.2425433125
"355",16,6329170,"ARS-BFGL-NGS-89740",0.1634004576
"356",16,6421207,"BTB-01200020",0.1018884983
"357",16,6446024,"BTB-01200008",0.1167631986
"358",16,719450,"BTB-00623459",0.1010217262
"359",16,72000010,"Hapmap55487-rs29023215",0.112266835
"360",16,72025137,"ARS-BFGL-NGS-106233",0.1440657157
"361",16,72146211,"Hapmap51565-BTA-122868",0.121919874
"362",17,28637922,"BTB-00676077",0.1275494539
"363",17,28709448,"Hapmap39420-BTA-65875",0.1309015528
"364",17,28946786,"ARS-BFGL-NGS-30992",0.1211300346
"365",17,29056641,"ARS-BFGL-BAC-32712",0.1043920326
"366",17,47697987,"Hapmap38389-BTA-17091",0.1002334657
"367",17,52610220,"ARS-BFGL-NGS-16431",0.1131629268
"368",17,5529898,"ARS-BFGL-NGS-24849",0.1028224298
"369",17,60781502,"ARS-BFGL-NGS-39993",0.1158658117
"370",17,63638557,"ARS-BFGL-NGS-102231",0.1164977038
"371",17,63670448,"ARS-BFGL-NGS-115604",0.1316880991
"372",17,63702565,"BTB-00683557",0.1789678452
"373",17,63734585,"BTB-00683408",0.2345361121
"374",17,63801977,"ARS-BFGL-NGS-68160",0.2420046905
"375",17,63839661,"ARS-BFGL-NGS-111681",0.1739345982
"376",17,63860049,"ARS-BFGL-NGS-94330",0.1219070405
"377",17,63950062,"ARS-BFGL-BAC-36611",0.1076533639
"378",17,63980425,"ARS-BFGL-NGS-17192",0.1191433996
"379",17,64725259,"ARS-BFGL-NGS-119559",0.1212831416
"380",17,64880442,"BTA-41804-no-rs",0.1301089749
"381",17,64908699,"BTB-00686787",0.1236263907
"382",17,64941889,"ARS-BFGL-NGS-111098",0.1352275006
"383",17,64965089,"Hapmap51227-BTA-41809",0.1595287271
"384",17,64994584,"BTB-00686912",0.1197443013
"385",17,65019617,"ARS-BFGL-NGS-41791",0.1025182555
"386",17,72650868,"ARS-BFGL-NGS-102576",0.1390294231
"387",17,72708941,"ARS-BFGL-NGS-117289",0.1341701855
"388",17,72733715,"ARS-BFGL-NGS-61354",0.1105093281
"389",17,72754526,"ARS-BFGL-NGS-16630",0.1094184678
"390",17,72912770,"ARS-BFGL-NGS-108169",0.1231619273
"391",18,21231877,"BTB-00705849",0.1286615006
"392",18,21337120,"ARS-BFGL-NGS-111533",0.2542432318
"393",18,21391728,"Hapmap46385-BTA-90833",0.4494537388
"394",18,21429894,"Hapmap35049-BES5_Contig425_820",0.3313303114
"395",18,21454669,"Hapmap42359-BTA-90829",0.321038444
"396",18,21483055,"ARS-BFGL-NGS-106934",0.2473642381
"397",18,21505378,"Hapmap49904-BTA-19486",0.1525067922
"398",18,21555192,"ARS-BFGL-NGS-43902",0.1039041933
"399",18,21791294,"Hapmap42547-BTA-42724",0.108565453
"400",18,26996637,"ARS-BFGL-NGS-12130",0.1067411993
"401",18,27034659,"BTA-19724-no-rs",0.1498780652
"402",18,27057109,"Hapmap52207-rs29021316",0.1730525911
"403",18,27147855,"ARS-BFGL-BAC-34194",0.1239609828
"404",18,27193722,"Hapmap23161-BTA-162019",0.1545776509
"405",18,27285021,"ARS-BFGL-NGS-29803",0.182001312
"406",18,27360956,"Hapmap50199-BTA-106275",0.1285033131
"407",18,27440587,"Hapmap33051-BTA-154275",0.166033038
"408",18,27466718,"ARS-BFGL-BAC-34193",0.1800524495
"409",18,27489227,"ARS-BFGL-NGS-5283",0.2332037451
"410",18,27556941,"BTA-106270-no-rs",0.1855006686
"411",18,27873728,"ARS-BFGL-NGS-36647",0.2357321108
"412",18,27938774,"ARS-BFGL-NGS-101461",0.3809178316
"413",18,28048779,"ARS-BFGL-NGS-110709",0.283550781
"414",18,28122450,"ARS-BFGL-NGS-59857",0.2280346754
"415",18,28195018,"ARS-BFGL-NGS-73644",0.237078915
"416",18,28233472,"ARS-BFGL-NGS-108426",0.1694792354
"417",18,28333748,"BTA-29270-no-rs",0.1150091104
"418",18,28989050,"Hapmap49026-BTA-113661",0.1016614839
"419",18,29138185,"Hapmap38811-BTA-113622",0.1060298176
"420",18,29200440,"Hapmap45469-BTA-113627",0.1638232369
"421",18,29271888,"Hapmap51157-BTA-116869",0.200279552
"422",18,29298380,"BTA-113636-no-rs",0.1764313203
"423",18,29324758,"ARS-BFGL-NGS-106535",0.2624605545
"424",18,29364850,"Hapmap55151-rs29025839",0.2795316006
"425",18,29467609,"Hapmap48531-BTA-95258",0.2227679224
"426",18,29524292,"ARS-BFGL-NGS-16967",0.179574601
"427",18,29576686,"Hapmap53786-rs29014011",0.1416326626
"428",18,29605571,"Hapmap36782-SCAFFOLD167149_2583",0.1713823933
"429",18,29649247,"BTA-95254-no-rs",0.1448184151
"430",18,54117753,"ARS-BFGL-NGS-52477",0.191789687
"431",18,54201723,"Hapmap47295-BTA-43799",0.190768337
"432",18,54265768,"ARS-BFGL-NGS-108618",0.1963252876
"433",18,54423038,"BTB-00726211",0.1866930126
"434",18,54524864,"Hapmap38225-BTA-43804",0.1659251186
"435",18,54546398,"ARS-BFGL-NGS-82046",0.1840717435
"436",18,54586408,"ARS-BFGL-NGS-10623",0.1417039929
"437",18,54783476,"ARS-BFGL-NGS-70161",0.1305655788
"438",18,6140925,"BTA-121111-no-rs",0.1096684442
"439",18,6572449,"ARS-BFGL-NGS-58546",0.1126789623
"440",18,6627295,"ARS-BFGL-NGS-101349",0.1290278173
"441",18,6661805,"ARS-BFGL-NGS-2504",0.1263537957
"442",18,6723849,"BTA-03029-rs29010796",0.1317185277
"443",18,6747828,"Hapmap54020-rs29023153",0.1609003691
"444",18,6788121,"Hapmap23072-BTA-131895",0.1600988635
"445",18,6830147,"ARS-BFGL-NGS-31035",0.1714778759
"446",18,6864571,"BTA-42870-no-rs",0.1252619561
"447",19,41653976,"ARS-BFGL-NGS-111199",0.1443223199
"448",19,41688325,"UA-IFASA-9304",0.1724619987
"449",19,41758457,"ARS-BFGL-NGS-38784",0.1778979182
"450",19,41788040,"ARS-BFGL-NGS-111247",0.1404885107
"451",19,41836105,"ARS-BFGL-NGS-1032",0.1390583621
"452",19,41922085,"ARS-BFGL-NGS-106239",0.1311787722
"453",19,45438908,"UA-IFASA-6117",0.1030924281
"454",19,45480873,"ARS-BFGL-NGS-114067",0.1491889255
"455",19,45565481,"BTA-45655-no-rs",0.1362123728
"456",19,45640308,"ARS-BFGL-NGS-110481",0.1295811869
