"","SNP","CHR","QTL_type","start_pos","end_pos","QTL_ID"
"50","BTA-25900-no-rs",13,"Exterior",18509810,18509814,"46839"
"51","BTA-25900-no-rs",13,"Exterior",18509810,18509814,"46840"
"52","BTA-25900-no-rs",13,"Production",18509810,18509814,"46841"
"53","BTA-25900-no-rs",13,"Exterior",18509810,18509814,"46842"
"54","BTA-25900-no-rs",13,"Exterior",18509810,18509814,"46843"
"55","BTA-25900-no-rs",13,"Production",18509810,18509814,"46844"
"56","BTA-25900-no-rs",13,"Production",18509810,18509814,"46845"
"57","BTA-25900-no-rs",13,"Exterior",18509810,18509814,"46846"
"58","BTA-25900-no-rs",13,"Exterior",18509810,18509814,"46847"
"59","BTA-25900-no-rs",13,"Exterior",18509810,18509814,"46848"
"60","BTA-25900-no-rs",13,"Exterior",18509810,18509814,"46849"
"61","BTA-25900-no-rs",13,"Reproduction",18509810,18509814,"46850"
"62","BTA-25900-no-rs",13,"Health",18509810,18509814,"46851"
"63","BTA-25900-no-rs",13,"Reproduction",18509810,18509814,"46852"
"64","BTA-25900-no-rs",13,"Exterior",18509810,18509814,"46853"
"65","BTA-25900-no-rs",13,"Reproduction",18558538,18558542,"46854"
"66","BTA-25900-no-rs",13,"Exterior",18558538,18558542,"46855"
"67","BTA-25900-no-rs",13,"Exterior",18558538,18558542,"46856"
"68","BTA-25900-no-rs",13,"Milk",18558538,18558542,"46857"
"69","BTA-25900-no-rs",13,"Exterior",18558538,18558542,"46858"
"70","BTA-25900-no-rs",13,"Milk",18558538,18558542,"46859"
"71","BTA-25900-no-rs",13,"Production",18558538,18558542,"46860"
"72","BTA-25900-no-rs",13,"Production",18558538,18558542,"46861"
"73","BTA-25900-no-rs",13,"Milk",18558538,18558542,"46862"
"74","BTA-25900-no-rs",13,"Exterior",18558538,18558542,"46863"
"75","BTA-25900-no-rs",13,"Exterior",18558538,18558542,"46864"
"76","BTA-25900-no-rs",13,"Reproduction",18558538,18558542,"46865"
"77","BTA-25900-no-rs",13,"Reproduction",18558538,18558542,"46866"
"78","BTA-25900-no-rs",13,"Exterior",18558538,18558542,"46867"
"79","BTA-25900-no-rs",13,"Exterior",18558538,18558542,"46868"
"80","ARS-BFGL-NGS-13518",13,"Production",18791941,18791945,"186292"
"81","ARS-BFGL-NGS-13518",13,"Production",18822520,18822524,"68549"
"82","ARS-BFGL-NGS-13518",13,"Meat_and_Carcass",18840874,18840878,"234091"
"83","ARS-BFGL-NGS-109707",13,"Reproduction",18892496,18892500,"15278"
"84","Hapmap30534-BTA-137081",23,"Milk",14528139,14528143,"164892"
"85","Hapmap30534-BTA-137081",23,"Reproduction",14532015,14532019,"28651"
"86","ARS-BFGL-NGS-118806",24,"Reproduction",28703205,28703209,"138597"
"87","ARS-BFGL-NGS-118806",24,"Health",28750898,28750902,"170376"
"88","ARS-BFGL-NGS-118806",24,"Milk",28758507,28758511,"180615"
"89","BTB-00952622",27,"Milk",16616482,16616486,"70382"
"90","BTB-00952622",27,"Milk",16617996,16618000,"70383"
"91","BTB-00952622",27,"Milk",16669779,16669783,"70769"
"92","ARS-BFGL-NGS-58358",27,"Milk",16669779,16669783,"70769"
