"","SNP_name","rsID","CHR","BP","Var"
"32","ARS-BFGL-NGS-43721","rs108974471",2,115986085,0.8178265017
"33","ARS-BFGL-NGS-44131","rs110100483",3,111806406,1.0252690009
"34","ARS-BFGL-NGS-5141","rs110705087",24,28417928,0.5945939782
"35","ARS-BFGL-NGS-56582","rs43268059",1,130204834,0.3492379809
"36","ARS-BFGL-NGS-5722","rs110803000",10,16160207,0.3713582826
"37","ARS-BFGL-NGS-5976","rs41763278",15,34144843,0.5490536701
"38","ARS-BFGL-NGS-6202","rs110385521",3,111833768,1.1671761702
"39","ARS-BFGL-NGS-71345","rs109181087",3,111991216,0.49657328
"40","ARS-BFGL-NGS-71657","rs110799261",4,7455891,0.327844034
"41","ARS-BFGL-NGS-75576","rs41760513",15,34025604,0.4695660448
"42","ARS-BFGL-NGS-78615","rs110959523",20,12111883,0.5689079257
"43","ARS-BFGL-NGS-85333","rs110742206",3,111933069,0.6077153076
"44","ARS-BFGL-NGS-8836","rs110305082",10,50727713,0.3454068732
"45","ARS-BFGL-NGS-97849","rs110553601",3,111965305,0.7547885266
"46","ARS-BFGL-NGS-98724","rs109709275",15,34109962,0.6252263388
"47","ARS-USMARC-Parent-EF026086-rs29013660","rs29013660",28,35132199,0.331314039
"48","BTA-118245-no-rs","rs41664902",20,12228546,0.3054249416
"49","BTA-25900-no-rs","rs41575397",13,18509812,0.636412785
"50","BTA-31832-no-rs","rs41631683",13,18676544,0.3995709706
"51","BTA-49096-no-rs","rs41578131",2,115695003,1.6071883333
"52","BTA-53040-no-rs","rs41637809",1,130363507,0.3226768535
"53","BTA-73915-no-rs","rs41648979",5,6312610,0.5103844282
"54","BTA-91816-no-rs","rs41596771",15,11100934,0.9739682726
"55","BTA-91820-no-rs","rs41572742",15,11310260,0.4420277347
"56","BTA-92902-no-rs","rs41662308",10,50532545,0.4997713901
"57","BTA-96609-no-rs","rs41616196",2,75615637,0.3299857771
"58","BTA-96614-no-rs","rs41662071",2,75692826,0.3503897101
"59","BTA-97262-no-rs","rs41609631",24,28452709,0.4809271622
"60","BTB-00058404","rs43268082",1,130225374,0.3332314002
"61","BTB-00113625","rs43326515",2,115504029,0.327129702
"62","BTB-00280987","rs43487459",6,105860748,0.3147471587
"63","BTB-00593773","rs41757877",15,34249244,0.356042165
"64","BTB-00685072","rs41848383",4,7427468,0.3386708112
"65","BTB-01421844","rs42544667",15,11144666,0.7131749729
"66","BTB-01421892","rs42544714",15,11185546,0.646368899
"67","BTB-01421934","rs42545356",15,11207429,0.8898566632
"68","BTB-01422008","rs42545430",15,11236303,0.68323064
"69","BTB-01434144","rs42556851",10,50632188,0.3879825255
"70","BTB-01434227","rs42557533",10,50554831,0.6660810063
"71","BTB-01485274","rs42609685",24,28540641,0.8983644118
"72","BTB-01485885","rs42606196",24,28353262,0.3220209643
"73","BTB-01608944","rs42723390",15,10974997,1.1206944587
"74","BTB-01610675","rs42733108",5,6016429,0.3122917055
"75","BTB-01641394","rs42752353",3,111730561,0.9480214011
"76","BTB-01646599","rs42761380",24,28604672,0.589457911
"77","BTB-01753605","rs42862169",2,55510237,0.3562712606
"78","BTB-01813405","rs42924913",15,10879514,0.5556341789
"79","BTB-01830390","rs42938737",15,10936002,1.0480276895
"80","BTB-01948148","rs43056622",3,111677167,0.7467347019
"81","BTB-02063964","rs43172105",15,10906064,0.8788211259
"82","Hapmap23257-BTA-123353","rs43710679",2,55394810,0.408073456
"83","Hapmap33880-BES9_Contig535_933","rs43559508",2,55577762,0.310804937
"84","Hapmap35049-BES5_Contig425_820","rs42536809",18,21429894,0.3313303114
"85","Hapmap35643-SCAFFOLD318144_4314","rs29017226",3,111651143,0.3867036619
"86","Hapmap38323-BTA-49132","rs41578141",2,116064090,0.3476804354
"87","Hapmap38876-BTA-109334","rs110195627",11,85937536,0.3037615763
"88","Hapmap40249-BTA-49086","rs41645218",2,115533946,0.499817276
"89","Hapmap41845-BTA-35927","rs41581283",14,12970779,0.3373003032
"90","Hapmap41888-BTA-49091","rs41645223",2,115622067,0.826839192
"91","Hapmap42062-BTA-109789","rs41621207",3,111708236,1.2415855102
"92","Hapmap42359-BTA-90829","rs41593704",18,21454669,0.321038444
"93","Hapmap44603-BTA-51543","rs41667474",20,12136194,0.4286373871
"94","Hapmap46385-BTA-90833","rs41593707",18,21391728,0.4494537388
"95","Hapmap48508-BTA-88108","rs41663417",2,55441390,0.3278747966
"96","Hapmap49833-BTA-103929","rs41603335",13,18386942,0.5282867231
"97","Hapmap50173-BTA-96591","rs41662054",2,75132529,0.3371572484
"98","Hapmap50266-BTA-13664","rs29018622",13,18266073,0.6006650297
"99","Hapmap50870-BTA-111277","rs41619094",10,50375243,0.389669748
"100","Hapmap51989-BTA-92903","rs41662309",10,50608000,0.4718107609
"101","Hapmap52341-rs29025776","rs29025776",20,12040873,0.4138387881
"102","Hapmap54762-rs29012389","rs29012389",10,50673845,0.357542565
"103","Hapmap54770-rs29009608","rs29009608",2,115875702,0.7398417168
"104","Hapmap54981-rs29019846","rs29019846",24,28516684,0.7747524437
"105","Hapmap58887-rs29013502","rs29013502",24,28570245,0.7619212852
"106","Hapmap59616-ss46526976","rs41257422",5,6281168,0.3864947284
"107","UA-IFASA-5633","rs41646367",28,35155098,0.3037150094
"108","UA-IFASA-7696","rs41603184",14,12882729,0.3361686606
