"","SNP","rsID","CHR","QTL_type","start_pos","end_pos","QTL_ID"
"26","ARS-BFGL-NGS-43721","rs108974471",2,"Milk",115986083,115986087,"39017"
"27","ARS-BFGL-NGS-107330","rs109766798",2,"Milk",115986083,115986087,"39017"
"28","ARS-BFGL-NGS-43721","rs108974471",2,"Production",115986083,115986087,"39018"
"29","ARS-BFGL-NGS-107330","rs109766798",2,"Production",115986083,115986087,"39018"
"30","ARS-BFGL-NGS-43721","rs108974471",2,"Exterior",115986083,115986087,"39019"
"31","ARS-BFGL-NGS-107330","rs109766798",2,"Exterior",115986083,115986087,"39019"
"32","ARS-BFGL-NGS-43721","rs108974471",2,"Milk",115986083,115986087,"39020"
"33","ARS-BFGL-NGS-107330","rs109766798",2,"Milk",115986083,115986087,"39020"
"34","ARS-BFGL-NGS-43721","rs108974471",2,"Production",115986083,115986087,"39021"
"35","ARS-BFGL-NGS-107330","rs109766798",2,"Production",115986083,115986087,"39021"
"36","ARS-BFGL-NGS-43721","rs108974471",2,"Production",115986083,115986087,"39022"
"37","ARS-BFGL-NGS-107330","rs109766798",2,"Production",115986083,115986087,"39022"
"38","ARS-BFGL-NGS-43721","rs108974471",2,"Milk",115986083,115986087,"39023"
"39","ARS-BFGL-NGS-107330","rs109766798",2,"Milk",115986083,115986087,"39023"
"40","ARS-BFGL-NGS-43721","rs108974471",2,"Milk",115986083,115986087,"39024"
"41","ARS-BFGL-NGS-107330","rs109766798",2,"Milk",115986083,115986087,"39024"
"42","ARS-BFGL-NGS-43721","rs108974471",2,"Exterior",115986083,115986087,"39025"
"43","ARS-BFGL-NGS-107330","rs109766798",2,"Exterior",115986083,115986087,"39025"
"44","ARS-BFGL-NGS-43721","rs108974471",2,"Exterior",115986083,115986087,"39026"
"45","ARS-BFGL-NGS-107330","rs109766798",2,"Exterior",115986083,115986087,"39026"
"46","ARS-BFGL-NGS-43721","rs108974471",2,"Reproduction",115986083,115986087,"39027"
"47","ARS-BFGL-NGS-107330","rs109766798",2,"Reproduction",115986083,115986087,"39027"
"48","ARS-BFGL-NGS-43721","rs108974471",2,"Exterior",115986083,115986087,"39028"
"49","ARS-BFGL-NGS-107330","rs109766798",2,"Exterior",115986083,115986087,"39028"
"50","Hapmap49833-BTA-103929","rs41603335",13,"Milk",18340131,18340135,"116582"
"51","Hapmap49833-BTA-103929","rs41603335",13,"Milk",18349683,18349687,"116735"
"52","Hapmap49833-BTA-103929","rs41603335",13,"Milk",18370805,18370809,"249726"
"53","Hapmap49833-BTA-103929","rs41603335",13,"Milk",18381731,18381735,"116525"
"54","Hapmap49833-BTA-103929","rs41603335",13,"Reproduction",18386940,18386944,"46808"
"55","Hapmap49833-BTA-103929","rs41603335",13,"Reproduction",18386940,18386944,"46809"
"56","Hapmap49833-BTA-103929","rs41603335",13,"Exterior",18386940,18386944,"46810"
"57","Hapmap49833-BTA-103929","rs41603335",13,"Exterior",18386940,18386944,"46811"
"58","Hapmap49833-BTA-103929","rs41603335",13,"Production",18386940,18386944,"46812"
"59","Hapmap49833-BTA-103929","rs41603335",13,"Exterior",18386940,18386944,"46813"
"60","Hapmap49833-BTA-103929","rs41603335",13,"Milk",18386940,18386944,"46814"
"61","Hapmap49833-BTA-103929","rs41603335",13,"Production",18386940,18386944,"46815"
"62","Hapmap49833-BTA-103929","rs41603335",13,"Production",18386940,18386944,"46816"
"63","Hapmap49833-BTA-103929","rs41603335",13,"Exterior",18386940,18386944,"46817"
"64","Hapmap49833-BTA-103929","rs41603335",13,"Exterior",18386940,18386944,"46818"
"65","Hapmap49833-BTA-103929","rs41603335",13,"Exterior",18386940,18386944,"46819"
"66","Hapmap49833-BTA-103929","rs41603335",13,"Reproduction",18386940,18386944,"46820"
"67","Hapmap49833-BTA-103929","rs41603335",13,"Reproduction",18386940,18386944,"46821"
"68","Hapmap49833-BTA-103929","rs41603335",13,"Exterior",18386940,18386944,"46822"
"69","Hapmap49833-BTA-103929","rs41603335",13,"Meat_and_Carcass",18386940,18386944,"151596"
"70","Hapmap49833-BTA-103929","rs41603335",13,"Meat_and_Carcass",18392222,18392226,"226401"
"71","Hapmap49833-BTA-103929","rs41603335",13,"Meat_and_Carcass",18392222,18392226,"228662"
"72","Hapmap49833-BTA-103929","rs41603335",13,"Meat_and_Carcass",18392222,18392226,"234093"
"73","Hapmap49833-BTA-103929","rs41603335",13,"Milk",18406821,18406825,"116526"
"74","BTA-25900-no-rs","rs41575397",13,"Reproduction",18489668,18489672,"46823"
"75","BTA-25900-no-rs","rs41575397",13,"Exterior",18489668,18489672,"46824"
"76","BTA-25900-no-rs","rs41575397",13,"Exterior",18489668,18489672,"46825"
"77","BTA-25900-no-rs","rs41575397",13,"Milk",18489668,18489672,"46826"
"78","BTA-25900-no-rs","rs41575397",13,"Production",18489668,18489672,"46827"
"79","BTA-25900-no-rs","rs41575397",13,"Exterior",18489668,18489672,"46828"
"80","BTA-25900-no-rs","rs41575397",13,"Exterior",18489668,18489672,"46829"
"81","BTA-25900-no-rs","rs41575397",13,"Production",18489668,18489672,"46830"
"82","BTA-25900-no-rs","rs41575397",13,"Production",18489668,18489672,"46831"
"83","BTA-25900-no-rs","rs41575397",13,"Exterior",18489668,18489672,"46832"
"84","BTA-25900-no-rs","rs41575397",13,"Exterior",18489668,18489672,"46833"
"85","BTA-25900-no-rs","rs41575397",13,"Reproduction",18489668,18489672,"46834"
"86","BTA-25900-no-rs","rs41575397",13,"Reproduction",18489668,18489672,"46835"
"87","BTA-25900-no-rs","rs41575397",13,"Exterior",18489668,18489672,"46836"
"88","BTA-25900-no-rs","rs41575397",13,"Reproduction",18509810,18509814,"46837"
"89","ARS-BFGL-BAC-7444","rs110491621",13,"Reproduction",18509810,18509814,"46837"
"90","BTA-25900-no-rs","rs41575397",13,"Reproduction",18509810,18509814,"46838"
"91","ARS-BFGL-BAC-7444","rs110491621",13,"Reproduction",18509810,18509814,"46838"
"92","BTA-25900-no-rs","rs41575397",13,"Exterior",18509810,18509814,"46839"
"93","ARS-BFGL-BAC-7444","rs110491621",13,"Exterior",18509810,18509814,"46839"
"94","BTA-25900-no-rs","rs41575397",13,"Exterior",18509810,18509814,"46840"
"95","ARS-BFGL-BAC-7444","rs110491621",13,"Exterior",18509810,18509814,"46840"
"96","BTA-25900-no-rs","rs41575397",13,"Production",18509810,18509814,"46841"
"97","ARS-BFGL-BAC-7444","rs110491621",13,"Production",18509810,18509814,"46841"
"98","BTA-25900-no-rs","rs41575397",13,"Exterior",18509810,18509814,"46842"
"99","ARS-BFGL-BAC-7444","rs110491621",13,"Exterior",18509810,18509814,"46842"
"100","BTA-25900-no-rs","rs41575397",13,"Exterior",18509810,18509814,"46843"
"101","ARS-BFGL-BAC-7444","rs110491621",13,"Exterior",18509810,18509814,"46843"
"102","BTA-25900-no-rs","rs41575397",13,"Production",18509810,18509814,"46844"
"103","ARS-BFGL-BAC-7444","rs110491621",13,"Production",18509810,18509814,"46844"
"104","BTA-25900-no-rs","rs41575397",13,"Production",18509810,18509814,"46845"
"105","ARS-BFGL-BAC-7444","rs110491621",13,"Production",18509810,18509814,"46845"
"106","BTA-25900-no-rs","rs41575397",13,"Exterior",18509810,18509814,"46846"
"107","ARS-BFGL-BAC-7444","rs110491621",13,"Exterior",18509810,18509814,"46846"
"108","BTA-25900-no-rs","rs41575397",13,"Exterior",18509810,18509814,"46847"
"109","ARS-BFGL-BAC-7444","rs110491621",13,"Exterior",18509810,18509814,"46847"
"110","BTA-25900-no-rs","rs41575397",13,"Exterior",18509810,18509814,"46848"
"111","ARS-BFGL-BAC-7444","rs110491621",13,"Exterior",18509810,18509814,"46848"
"112","BTA-25900-no-rs","rs41575397",13,"Exterior",18509810,18509814,"46849"
"113","ARS-BFGL-BAC-7444","rs110491621",13,"Exterior",18509810,18509814,"46849"
"114","BTA-25900-no-rs","rs41575397",13,"Reproduction",18509810,18509814,"46850"
"115","ARS-BFGL-BAC-7444","rs110491621",13,"Reproduction",18509810,18509814,"46850"
"116","BTA-25900-no-rs","rs41575397",13,"Health",18509810,18509814,"46851"
"117","ARS-BFGL-BAC-7444","rs110491621",13,"Health",18509810,18509814,"46851"
"118","BTA-25900-no-rs","rs41575397",13,"Reproduction",18509810,18509814,"46852"
"119","ARS-BFGL-BAC-7444","rs110491621",13,"Reproduction",18509810,18509814,"46852"
"120","BTA-25900-no-rs","rs41575397",13,"Exterior",18509810,18509814,"46853"
"121","ARS-BFGL-BAC-7444","rs110491621",13,"Exterior",18509810,18509814,"46853"
"122","BTA-25900-no-rs","rs41575397",13,"Reproduction",18558538,18558542,"46854"
"123","ARS-BFGL-BAC-7444","rs110491621",13,"Reproduction",18558538,18558542,"46854"
"124","BTA-25900-no-rs","rs41575397",13,"Exterior",18558538,18558542,"46855"
"125","ARS-BFGL-BAC-7444","rs110491621",13,"Exterior",18558538,18558542,"46855"
"126","BTA-25900-no-rs","rs41575397",13,"Exterior",18558538,18558542,"46856"
"127","ARS-BFGL-BAC-7444","rs110491621",13,"Exterior",18558538,18558542,"46856"
"128","BTA-25900-no-rs","rs41575397",13,"Milk",18558538,18558542,"46857"
"129","ARS-BFGL-BAC-7444","rs110491621",13,"Milk",18558538,18558542,"46857"
"130","BTA-25900-no-rs","rs41575397",13,"Exterior",18558538,18558542,"46858"
"131","ARS-BFGL-BAC-7444","rs110491621",13,"Exterior",18558538,18558542,"46858"
"132","BTA-25900-no-rs","rs41575397",13,"Milk",18558538,18558542,"46859"
"133","ARS-BFGL-BAC-7444","rs110491621",13,"Milk",18558538,18558542,"46859"
"134","BTA-25900-no-rs","rs41575397",13,"Production",18558538,18558542,"46860"
"135","ARS-BFGL-BAC-7444","rs110491621",13,"Production",18558538,18558542,"46860"
"136","BTA-25900-no-rs","rs41575397",13,"Production",18558538,18558542,"46861"
"137","ARS-BFGL-BAC-7444","rs110491621",13,"Production",18558538,18558542,"46861"
"138","BTA-25900-no-rs","rs41575397",13,"Milk",18558538,18558542,"46862"
"139","ARS-BFGL-BAC-7444","rs110491621",13,"Milk",18558538,18558542,"46862"
"140","BTA-25900-no-rs","rs41575397",13,"Exterior",18558538,18558542,"46863"
"141","ARS-BFGL-BAC-7444","rs110491621",13,"Exterior",18558538,18558542,"46863"
"142","BTA-25900-no-rs","rs41575397",13,"Exterior",18558538,18558542,"46864"
"143","ARS-BFGL-BAC-7444","rs110491621",13,"Exterior",18558538,18558542,"46864"
"144","BTA-25900-no-rs","rs41575397",13,"Reproduction",18558538,18558542,"46865"
"145","ARS-BFGL-BAC-7444","rs110491621",13,"Reproduction",18558538,18558542,"46865"
"146","BTA-25900-no-rs","rs41575397",13,"Reproduction",18558538,18558542,"46866"
"147","ARS-BFGL-BAC-7444","rs110491621",13,"Reproduction",18558538,18558542,"46866"
"148","BTA-25900-no-rs","rs41575397",13,"Exterior",18558538,18558542,"46867"
"149","ARS-BFGL-BAC-7444","rs110491621",13,"Exterior",18558538,18558542,"46867"
"150","BTA-25900-no-rs","rs41575397",13,"Exterior",18558538,18558542,"46868"
"151","ARS-BFGL-BAC-7444","rs110491621",13,"Exterior",18558538,18558542,"46868"
"152","BTB-01948148","rs43056622",3,"Reproduction",111708234,111708238,"30008"
"153","Hapmap42062-BTA-109789","rs41621207",3,"Reproduction",111708234,111708238,"30008"
"154","BTB-01641394","rs42752353",3,"Reproduction",111708234,111708238,"30008"
"155","ARS-BFGL-NGS-37809","rs42751504",3,"Reproduction",111708234,111708238,"30008"
"156","BTB-01948148","rs43056622",3,"Reproduction",111708234,111708238,"30244"
"157","Hapmap42062-BTA-109789","rs41621207",3,"Reproduction",111708234,111708238,"30244"
"158","BTB-01641394","rs42752353",3,"Reproduction",111708234,111708238,"30244"
"159","ARS-BFGL-NGS-37809","rs42751504",3,"Reproduction",111708234,111708238,"30244"
"160","BTB-01948148","rs43056622",3,"Meat_and_Carcass",111708234,111708238,"152258"
"161","Hapmap42062-BTA-109789","rs41621207",3,"Meat_and_Carcass",111708234,111708238,"152258"
"162","BTB-01641394","rs42752353",3,"Meat_and_Carcass",111708234,111708238,"152258"
"163","ARS-BFGL-NGS-37809","rs42751504",3,"Meat_and_Carcass",111708234,111708238,"152258"
"164","BTB-01948148","rs43056622",3,"Meat_and_Carcass",111717521,111717525,"225527"
"165","Hapmap42062-BTA-109789","rs41621207",3,"Meat_and_Carcass",111717521,111717525,"225527"
"166","BTB-01641394","rs42752353",3,"Meat_and_Carcass",111717521,111717525,"225527"
"167","ARS-BFGL-NGS-37809","rs42751504",3,"Meat_and_Carcass",111717521,111717525,"225527"
"168","ARS-BFGL-NGS-97849","rs110553601",3,"Meat_and_Carcass",111991214,111991218,"151880"
"169","ARS-BFGL-NGS-97849","rs110553601",3,"Meat_and_Carcass",111991214,111991218,"152096"
"170","ARS-BFGL-NGS-34854","rs109738387",23,"Reproduction",14164327,14164331,"52030"
"171","ARS-BFGL-NGS-34854","rs109738387",23,"Production",14164327,14164331,"52031"
"172","ARS-BFGL-NGS-34854","rs109738387",23,"Meat_and_Carcass",14168378,14168382,"229449"
"173","ARS-BFGL-NGS-34854","rs109738387",23,"Reproduction",14185499,14185503,"52032"
"174","ARS-BFGL-NGS-34854","rs109738387",23,"Production",14185499,14185503,"52033"
"175","ARS-BFGL-NGS-34854","rs109738387",23,"Reproduction",14208469,14208473,"52034"
"176","ARS-BFGL-NGS-34854","rs109738387",23,"Production",14208469,14208473,"52035"
"177","ARS-BFGL-NGS-97489","rs42111498",27,"Milk",16565442,16565446,"70892"
"178","ARS-BFGL-NGS-97489","rs42111498",27,"Milk",16578044,16578048,"70788"
"179","ARS-BFGL-NGS-97489","rs42111498",27,"Reproduction",16579768,16579772,"53392"
"180","ARS-BFGL-NGS-97489","rs42111498",27,"Exterior",16579768,16579772,"53393"
"181","ARS-BFGL-NGS-97489","rs42111498",27,"Reproduction",16579768,16579772,"53394"
"182","ARS-BFGL-NGS-97489","rs42111498",27,"Exterior",16579768,16579772,"53395"
"183","ARS-BFGL-NGS-97489","rs42111498",27,"Milk",16579768,16579772,"53396"
"184","ARS-BFGL-NGS-97489","rs42111498",27,"Milk",16579768,16579772,"53397"
"185","ARS-BFGL-NGS-97489","rs42111498",27,"Milk",16579768,16579772,"53398"
"186","ARS-BFGL-NGS-97489","rs42111498",27,"Production",16579768,16579772,"53399"
"187","ARS-BFGL-NGS-97489","rs42111498",27,"Production",16579768,16579772,"53400"
"188","ARS-BFGL-NGS-97489","rs42111498",27,"Milk",16579768,16579772,"53401"
"189","ARS-BFGL-NGS-97489","rs42111498",27,"Milk",16579768,16579772,"53402"
"190","ARS-BFGL-NGS-97489","rs42111498",27,"Exterior",16579768,16579772,"53403"
"191","ARS-BFGL-NGS-97489","rs42111498",27,"Reproduction",16579768,16579772,"53404"
"192","ARS-BFGL-NGS-97489","rs42111498",27,"Reproduction",16579768,16579772,"53405"
"193","ARS-BFGL-NGS-97489","rs42111498",27,"Exterior",16579768,16579772,"53406"
"194","ARS-BFGL-NGS-97489","rs42111498",27,"Exterior",16579768,16579772,"53407"
"195","BTB-00952622","rs42110734",27,"Milk",16616482,16616486,"70382"
"196","BTB-00952622","rs42110734",27,"Milk",16617996,16618000,"70383"
"197","BTB-00952622","rs42110734",27,"Milk",16669779,16669783,"70769"
"198","ARS-BFGL-NGS-58358","rs109507088",27,"Milk",16669779,16669783,"70769"
"199","BTA-95363-no-rs","rs41615088",16,"Production",6121690,6121694,"68846"
"200","BTB-01069210","rs42225053",6,"Meat_and_Carcass",9150592,9150596,"231667"
"201","BTB-01608944","rs42723390",15,"Reproduction",10936000,10936004,"47797"
"202","BTB-01608944","rs42723390",15,"Reproduction",10936000,10936004,"47798"
"203","BTB-01608944","rs42723390",15,"Exterior",10936000,10936004,"47799"
"204","BTB-01608944","rs42723390",15,"Milk",10936000,10936004,"47800"
"205","BTB-01608944","rs42723390",15,"Milk",10936000,10936004,"47801"
"206","BTB-01608944","rs42723390",15,"Production",10936000,10936004,"47802"
"207","BTB-01608944","rs42723390",15,"Production",10936000,10936004,"47803"
"208","BTB-01608944","rs42723390",15,"Milk",10936000,10936004,"47804"
"209","BTB-01608944","rs42723390",15,"Milk",10936000,10936004,"47805"
"210","BTB-01608944","rs42723390",15,"Reproduction",10936000,10936004,"47806"
"211","BTB-01608944","rs42723390",15,"Health",10936000,10936004,"47807"
"212","BTB-01608944","rs42723390",15,"Reproduction",10936000,10936004,"47808"
"213","BTB-01608944","rs42723390",15,"Exterior",10936000,10936004,"47809"
"214","BTB-01608944","rs42723390",15,"Exterior",10936000,10936004,"47810"
"215","BTB-01608944","rs42723390",15,"Exterior",10936000,10936004,"47811"
"216","BTB-01608944","rs42723390",15,"Reproduction",10936000,10936004,"281490"
